id,citation_number,citation_date,first_name,last_name,date_of_birth,defendant_address,defendant_city,defendant_state,drivers_license_number,court_date,court_location,court_address
1,789674515,3/9/2015 0:00,Wanda,Phillips,12/30/1975 0:00,0 Erie Road,DES PERES,MO,O890037612,11/12/2015 0:00,COUNTRY CLUB HILLS,7422 Eunice Avenue
2,513276502,3/15/2015 0:00,Mildred,Collins,10/31/1960 0:00,856 Banding Trail,CHESTERFIELD,MO,,9/16/2015 0:00,FLORISSANT,315 Howdershell Road
3,877826802,2/10/2015 0:00,Lori,Grant,4/10/1992 0:00,62819 Jay Way,HILLSDALE,MO,A840420280,11/12/2015 0:00,FENTON,625 New Smizer Mill Road
4,743778728,4/29/2015 0:00,Lori,Grant,4/10/1992 0:00,62819 Jay Way,HILLSDALE,MO,A840420280,10/8/2015 0:00,ST. LOUIS CITY,8944 St. Charles Rock Road
5,23314665,5/25/2015 0:00,Lori,Grant,4/10/1992 0:00,62819 Jay Way,HILLSDALE,MO,A840420280,12/25/2015 0:00,WEBSTER GROVES,4 Lockwood Aveue
6,111277359,1/15/2015 0:00,Jerry,Sanders,6/19/1973 0:00,6 Kropf Park,HAZELWOOD,MO,Z854997336,12/29/2015 0:00,,
7,13938567,4/3/2015 0:00,Lori,Grant,4/10/1992 0:00,62819 Jay Way,HILLSDALE,,A840420280,11/6/2015 0:00,BERKELEY 1,6120 Madison
8,41970242,2/1/2015 0:00,Phillip,Gardner,5/29/1994 0:00,115 Bobwhite Junction,WARSON WOODS,MO,X984850978,10/28/2015 0:00,RIVERVIEW,9699 Lilac Drive
9,580837567,5/4/2015 0:00,Judy,Gardner,7/10/1963 0:00,8 Utah Way,CRYSTAL LAKE PARK,,Y799252548,11/29/2015 0:00,WARSON WOODS,10015 Manchester Road
10,874536433,5/5/2015 0:00,Marilyn,Arnold,1/6/1958 0:00,835 Grayhawk Way,SUNSET HILLS,,W879351691,10/21/2015 0:00,RICHMOND HEIGHTS,7447 Dale Avenue
11,466670789,6/30/2015 0:00,Frank,Fields,1/2/1992 0:00,80611 Bluejay Pass,DELLWOOD,MO,A073019557,11/12/2015 0:00,CHESTERFIELD,690 Chesterfield Parkway West
12,550159937,3/2/2015 0:00,Nancy,Kelley,8/27/1960 0:00,0876 Barnett Circle,BLACK JACK,MO,I927843860,11/5/2015 0:00,ROCK HILL,320 West Thornton Avenue
13,536940520,5/16/2015 0:00,Samuel,Ward,4/7/1962 0:00,22 Waubesa Alley,VALLEY PARK,MO,F307994218,10/4/2015 0:00,ST. LOUIS CITY,12355 Natural Bridge Road
14,305205919,7/28/2015 0:00,Gloria,Reynolds,12/25/1987 0:00,85 Pepper Wood Circle,WOODSON TERRACE,MO,J771765099,11/4/2015 0:00,DES PERES,12325 Manchester Road
15,876198308,5/27/2015 0:00,Phyllis,Nelson,12/28/1952 0:00,6083 Tennessee Park,CLAYTON,MO,P170421367,12/28/2015 0:00,HANLEY HILLS,7713 Utica Drive
16,239945809,4/11/2015 0:00,Douglas,Matthews,10/9/1983 0:00,0277 High Crossing Crossing,PAGEDALE,MO,K762580477,9/25/2015 0:00,UNINCORPORATED SOUTH ST. LOUIS COUNTY,4544 Lemay Ferry Road
17,66706304,3/12/2015 0:00,Annie,Nichols,10/20/1984 0:00,3949 Hooker Drive,BALLWIN,MO,S607522726,12/3/2015 0:00,ROCK HILL,320 West Thornton Avenue
18,598273736,2/27/2015 0:00,Donald,Webb,3/8/1967 0:00,0 Summerview Terrace,PASADENA HILLS,MO,I369319612,12/25/2015 0:00,BERKELEY 1,6120 Madison
19,873380316,4/5/2015 0:00,Donald,Hunter,6/13/1993 0:00,6 Loomis Plaza,TWIN OAKS,,N193286121,,PAGEDALE,1420 Ferguson Avenue
20,475261391,5/24/2015 0:00,Roy,Parker,8/20/1979 0:00,2 Scoville Way,GLEN ECHO PARK,MO,Y165779775,11/6/2015 0:00,OLIVETTE,9473 Olive Boulevard
21,865768074,3/15/2015 0:00,Marie,Schmidt,3/12/1987 0:00,5 Hagan Street,KIRKWOOD,MO,,10/9/2015 0:00,HILLSDALE,6428 Jesse Jackson Avenue
22,464188908,6/29/2015 0:00,Earl,Medina,11/2/1954 0:00,8 Lawn Lane,SUNSET HILLS,MO,V396431169,11/26/2015 0:00,EUREKA,120 City Hall Drive
23,797928238,1/3/2015 0:00,Earl,Medina,11/2/1954 0:00,8 Lawn Lane,SUNSET HILLS,MO,V396431169,10/30/2015 0:00,BELLA VILLA,751 Avenue H
